Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,EV_Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Connector_Types,Country,Total_Chargers,Total_Chargers_in_State
ELEC,HOSPITAL SJPVH 2,2309 Antonio Ave,Camarillo,CA,93010,E,Public,0.0,2.0,0.0,Chargepoint Network,34.244412,-119.020487,2/8/2024,199325,2024-02-08 00:20:54 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL FHMC_3,1911 Johnson Ave,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278399,-120.652002,2/8/2024,199326,2024-02-08 00:20:54 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SJPVH 3,2309 Antonio Ave,Camarillo,CA,93010,E,Public,0.0,2.0,0.0,Chargepoint Network,34.244377,-119.020391,2/8/2024,199327,2024-02-08 00:20:55 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL MRMC_DOCTORS,1400 E Church St,Santa Maria,CA,93454,E,Public,0.0,2.0,0.0,Chargepoint Network,34.95187,-120.413688,2/8/2024,199328,2024-02-08 00:20:55 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL MRMC PRE ADMIT,1400 E Church St,Santa Maria,CA,93454,E,Public,0.0,2.0,0.0,Chargepoint Network,34.951857,-120.413559,2/8/2024,199329,2024-02-08 00:20:55 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SBMC EV 03,2101 N Waterman Ave,San Bernardino,CA,92404,E,Public,0.0,2.0,0.0,Chargepoint Network,34.134468,-117.274379,2/8/2024,199330,2024-02-08 00:20:55 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL MGH STATION 3,4001 J St,Sacramento,CA,95819,E,Public,0.0,2.0,0.0,Chargepoint Network,38.569926,-121.453266,2/8/2024,199331,2024-02-08 00:20:55 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SMMC LB 2,1055 Linden Ave,Long Beach,CA,90813,E,Public,0.0,2.0,0.0,Chargepoint Network,33.780352,-118.187009,2/8/2024,199332,2024-02-08 00:20:56 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SECH EV 02,2455 Sister Mary Columba Dr,Red Bluff,CA,96080,E,Public,0.0,2.0,0.0,Chargepoint Network,40.148296,-122.220412,2/8/2024,199333,2024-02-08 00:20:56 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SRDH DE LIMA 01,102 E Lake Mead Pkwy,Henderson,NV,89015,E,Public,0.0,2.0,0.0,Chargepoint Network,36.038478,-114.985847,2/8/2024,199334,2024-02-08 00:21:14 UTC,J1772,US,2.0,2004.0
